CSIsym,Contract,group,Date,timestamp,Anti-19,50/50,29,LowestEquity,24,25,26,27,20,21,22,23,RiskOff,28,Anti-18,2,4,6,8,Anti-33,30,11,10,13,12,15,14,17,16,19,18,Anti-Custom,RiskOn,AntiLowestEquity,Previous,Anti-1,Anti-3,Anti-2,Anti-5,Anti-4,Anti-7,Anti-6,Anti-9,Anti-8,Custom,AntiHighestEquity,Anti-Seasonality,1,3,5,7,9,Anti-32,Anti-31,Anti-30,Anti-36,Anti-35,Anti-34,Anti-15,Off,Anti-14,Anti-17,Anti50/50,HighestEquity,Anti-16,Anti-11,Anti-10,Anti-13,Seasonality,33,32,31,Anti-12,36,35,34,Anti-28,Anti-29,Anti-Previous,Anti-20,Anti-21,Anti-22,Anti-23,Anti-24,Anti-25,Anti-26,Anti-27
AD,@ADU7,currency,20170615,1497559559,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,-1,-1,-1,-1,0.0,0.0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,1.0,1,-1.0,1,1,1,1,1,1,1,1,1,1.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP,@BPU7,currency,20170615,1497559559,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,-1,-1,-1,-1,0.0,0.0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,@CDM7,currency,20170615,1497559559,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1.0,1,1,1,-1,0.0,0.0,-1,-1,1.0,-1,1.0,1.0,1.0,1.0,0.0,1.0,-1,1.0,-1,-1.0,-1,-1,-1,-1,-1,1,-1,1,1,1.0,-1,1,1,1,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,-1.0,-1.0,-1,1.0,-1.0,1,1,-1.0,-1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,QCLQ7,energy,20170615,1497559559,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,1,1,1,-1,0.0,0.0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,1.0,-1,-1.0,-1,-1,-1,-1,-1,1,-1,1,1,1.0,1,1,1,1,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,-1.0,1.0,1,1,1.0,-1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CU,@EUU7,currency,20170615,1497559559,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1.0,-1,-1,-1,-1,0.0,0.0,-1,-1,1.0,-1,1.0,1.0,1.0,1.0,0.0,1.0,-1,1.0,-1,-1.0,1,1,1,1,1,1,1,1,1,1.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,-1.0,-1.0,-1,1.0,-1.0,1,1,-1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMD,@EMDU7,index,20170615,1497559559,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,1,1,1,-1,0.0,0.0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,1.0,-1,-1.0,-1,-1,-1,-1,-1,1,-1,1,1,1.0,1,1,1,1,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,-1.0,1.0,1,1,1.0,-1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,@ESU7,index,20170615,1497559559,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,1,1,1,-1,0.0,0.0,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,1.0,1,-1.0,-1,-1,-1,-1,-1,1,-1,1,1,1.0,-1,1,1,1,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,1.0,1.0,1,1,1.0,-1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FV,@FVU7,rates,20170615,1497559559,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,-1,-1,-1,1,0.0,0.0,1,1,-1.0,1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,-1.0,1,-1.0,1,1,1,1,1,-1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1,1.0,1.0,-1,-1,1.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GC,QGCQ7,metal,20170615,1497559559,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.0,-1,-1,-1,1,0.0,0.0,1,1,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,-1,-1.0,-1,-1.0,1,1,1,1,1,-1,1,-1,-1,1.0,1,-1,-1,-1,-1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,-1.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HG,QHGN7,metal,20170615,1497559559,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1.0,-1,-1,-1,-1,0.0,0.0,-1,-1,1.0,-1,1.0,1.0,1.0,1.0,0.0,1.0,-1,1.0,-1,-1.0,1,1,1,1,1,1,1,1,1,1.0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,-1.0,-1.0,-1,1.0,-1.0,1,1,-1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
