2016-12-09 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-12-09 00:00:00,Close2016-12-09 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-12-09 00:00:00,LastSRUN,SRUN2016-12-09 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-12-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-12-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-12-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-12-08 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
RB,QRBF7,1.5073,0.0503,0.00172791918655,1.0,1.0,1.0,-1.0,1.0,-17.0,2016-11-14,2112.6,1.0,1.0,1.0,63306.6,1.0,0.00172791918655,1.5073,energy,1.0,1.0,2016-11-14,1.0,1.0,-18.0,-18.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,109.388688775,109.388688775,-109.388688775,109.388688775,109.388688775,-109.388688775,109.388688775,-109.388688775,109.388688775,109.388688775,109.388688775,-109.388688775,109.388688775,-109.388688775,-109.388688775,109.388688775,109.388688775,-109.388688775,109.388688775,-109.388688775,109.388688775,109.388688775,-109.388688775,109.388688775,109.388688775,0.0,109.388688775,109.388688775,109.388688775,109.388688775,0.0,109.388688775,0.0,109.388688775,-109.388688775
RR,@RRF7,9.92,0.22025,0.0153531218014,1.0,1.0,1.0,1.0,-1.0,16.0,2016-11-15,440.5,2.0,1.0,1.0,19840.0,1.0,0.0153531218014,9.92,grain,1.0,-1.0,2016-11-15,-1.0,-1.0,17.0,17.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
RS,@RSF7,518.8,6.555,-0.0065109153581,-1.0,-1.0,1.0,-1.0,1.0,22.0,2016-11-07,99.4990892532,10.0,3.0,3.0,7874.92410443,1.3176,-0.0065109153581,518.8,grain,1.0,-1.0,2016-11-07,1.0,1.0,23.0,23.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
S,@SF7,1037.5,17.3125,0.0102239532619,1.0,-1.0,1.0,-1.0,1.0,17.0,2016-11-14,865.625,1.0,1.0,1.0,51875.0,1.0,0.0102239532619,1037.5,grain,1.0,-1.0,2016-11-14,1.0,1.0,18.0,18.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,530.367575463,530.367575463,-530.367575463,530.367575463,530.367575463,-530.367575463,-530.367575463,530.367575463,530.367575463,-530.367575463,530.367575463,-530.367575463,530.367575463,530.367575463,-530.367575463,530.367575463,530.367575463,-530.367575463,530.367575463,-530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,530.367575463,-530.367575463,530.367575463,-530.367575463
SB,@SBH7,19.24,0.5225,-0.0107969151671,-1.0,-1.0,-1.0,-1.0,-1.0,-22.0,2016-11-07,585.2,1.0,1.0,1.0,21548.8,1.0,-0.0107969151671,19.24,soft,1.0,1.0,2016-11-07,-1.0,-1.0,-23.0,-23.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SF,@SFZ6,0.9829,0.00795,-0.00142233059027,-1.0,1.0,1.0,-1.0,-1.0,-12.0,2016-11-21,993.75,1.0,1.0,1.0,122862.5,1.0,-0.00142233059027,0.9829,currency,1.0,1.0,2016-11-21,-1.0,-1.0,-13.0,-13.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,-1,1,1.0,0,-174.751092147,174.751092147,174.751092147,-174.751092147,-174.751092147,174.751092147,-174.751092147,174.751092147,-174.751092147,-174.751092147,-174.751092147,174.751092147,-174.751092147,174.751092147,174.751092147,174.751092147,174.751092147,-174.751092147,-174.751092147,174.751092147,174.751092147,-174.751092147,-174.751092147,-174.751092147,-174.751092147,-0.0,-174.751092147,-174.751092147,-174.751092147,-174.751092147,-174.751092147,-174.751092147,-174.751092147,-0.0,174.751092147
SI,QSIH7,1696.7,39.852998003,-0.00754562470753,-1.0,1.0,-1.0,1.0,-1.0,6.0,2016-11-30,1992.64990015,1.0,1.0,1.0,84835.0,1.0,-0.00754562470753,1696.7,metal,-1.0,1.0,2016-11-30,-1.0,-1.0,7.0,7.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,-640.133072064,640.133072064,640.133072064,-640.133072064,640.133072064,-640.133072064,-640.133072064,640.133072064,640.133072064,-640.133072064,640.133072064,-640.133072064,640.133072064,640.133072064,-640.133072064,640.133072064,640.133072064,-640.133072064,640.133072064,-640.133072064,640.133072064,640.133072064,-640.133072064,640.133072064,640.133072064,-0.0,640.133072064,640.133072064,-640.133072064,-0.0,-0.0,-640.133072064,-0.0,640.133072064,-640.133072064
SIN,INZ6,8276.5,106.028769492,0.00461249013777,1.0,1.0,1.0,1.0,-1.0,10.0,2016-11-24,212.057538984,4.0,2.0,2.0,16553.0,1.0,0.00461249013777,8276.5,index,1.0,1.0,2016-11-24,-1.0,-1.0,11.0,11.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
SJB,BBH7,150.16,0.2820766665,-0.00019974698715,-1.0,-1.0,1.0,-1.0,1.0,51.0,2016-09-28,244.624634897,4.0,2.0,2.0,130222.877461,115.31,-0.00019974698715,150.16,rates,-1.0,1.0,2016-09-28,1.0,1.0,52.0,52.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
SM,@SMH7,322.9,7.1728800215,0.0162575709231,1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-11-28,717.28800215,1.0,1.0,1.0,32290.0,1.0,0.0162575709231,322.9,grain,1.0,-1.0,2016-11-28,1.0,1.0,-9.0,-9.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,524.956965107,524.956965107,-524.956965107,524.956965107,524.956965107,-524.956965107,-524.956965107,524.956965107,524.956965107,-524.956965107,524.956965107,-524.956965107,524.956965107,524.956965107,-524.956965107,524.956965107,524.956965107,-524.956965107,524.956965107,-524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,524.956965107,-524.956965107,524.956965107,-524.956965107
SMI,SWZ6,8112.0,100.85,0.0201207243461,1.0,1.0,1.0,1.0,-1.0,24.0,2016-11-04,990.960007861,1.0,1.0,1.0,79709.148079,1.0177,0.0201207243461,8112.0,index,1.0,1.0,2016-11-04,-1.0,-1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
SSG,SSZ6,329.6,3.3169429555,-0.00407916603717,-1.0,-1.0,-1.0,1.0,1.0,15.0,2016-11-17,463.843232485,2.0,1.0,1.0,46091.4557405,1.4302,-0.00407916603717,329.6,index,1.0,-1.0,2016-11-17,1.0,1.0,16.0,16.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,0.0,-1,1,1.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
STW,TWZ6,350.9,3.595866648,0.00199885779555,1.0,1.0,1.0,1.0,1.0,17.0,2016-11-15,359.5866648,2.0,1.0,1.0,35090.0,1.0,0.00199885779555,350.9,index,1.0,1.0,2016-11-15,1.0,1.0,18.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
SXE,EXZ6,3197.0,44.15,0.00282308657466,1.0,1.0,-1.0,1.0,1.0,24.0,2016-11-04,466.09155,2.0,1.0,1.0,33750.729,0.947238798901,0.00282308657466,3197.0,index,1.0,1.0,2016-11-04,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
TF,@TFSZ6,1387.9,15.32,-0.000504104853809,-1.0,1.0,1.0,1.0,1.0,25.0,2016-11-03,1532.0,1.0,1.0,1.0,138790.0,1.0,-0.000504104853809,1387.9,index,1.0,1.0,2016-11-03,1.0,1.0,26.0,26.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
TU,@TUH7,108.390625,0.0955885565,-0.00043227665706,-1.0,-1.0,1.0,-1.0,-1.0,23.0,2016-11-04,191.177113,5.0,2.0,2.0,216781.25,1.0,-0.00043227665706,108.390625,rates,-1.0,1.0,2016-11-04,-1.0,-1.0,24.0,24.0,1.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,0,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-468.547370317,468.547370317,-468.547370317,468.547370317,468.547370317,-468.547370317,-468.547370317,468.547370317,468.547370317,468.547370317,-468.547370317,468.547370317,-468.547370317,-468.547370317,468.547370317,468.547370317,468.547370317,-468.547370317,468.547370317,-468.547370317,-468.547370317,468.547370317,-468.547370317,-0.0,-468.547370317,-468.547370317,-468.547370317,468.547370317,468.547370317,-0.0,-0.0,468.547370317,-0.0,-0.0,-468.547370317
TY,@TYH7,124.03125,0.687060892,-0.00401505646173,-1.0,-1.0,1.0,-1.0,-1.0,46.0,2016-10-04,687.060892,1.0,1.0,1.0,124031.25,1.0,-0.00401505646173,124.03125,rates,-1.0,1.0,2016-10-04,-1.0,-1.0,47.0,47.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-497.992471769,497.992471769,497.992471769,-497.992471769,497.992471769,-497.992471769,-497.992471769,497.992471769,497.992471769,497.992471769,-497.992471769,497.992471769,-497.992471769,-497.992471769,497.992471769,497.992471769,497.992471769,-497.992471769,497.992471769,-497.992471769,497.992471769,-497.992471769,-497.992471769,-497.992471769,-0.0,-497.992471769,-497.992471769,-497.992471769,-497.992471769,-497.992471769,-497.992471769,497.992471769,497.992471769,497.992471769,-497.992471769
US,@USH7,148.5,1.7041965195,-0.0097937070223,-1.0,1.0,-1.0,1.0,-1.0,-24.0,2016-11-03,1704.1965195,1.0,1.0,1.0,148500.0,1.0,-0.0097937070223,148.5,rates,-1.0,1.0,2016-11-03,-1.0,-1.0,-25.0,-25.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,-1454.36549281,1454.36549281,1454.36549281,-1454.36549281,1454.36549281,-1454.36549281,-1454.36549281,1454.36549281,1454.36549281,-1454.36549281,1454.36549281,-1454.36549281,1454.36549281,1454.36549281,-1454.36549281,1454.36549281,1454.36549281,-1454.36549281,1454.36549281,-1454.36549281,1454.36549281,1454.36549281,-1454.36549281,1454.36549281,1454.36549281,-0.0,1454.36549281,1454.36549281,-1454.36549281,-0.0,-0.0,-1454.36549281,-0.0,1454.36549281,-1454.36549281
VX,@VXZ6,13.025,0.72325,-0.0297951582868,-1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-11-03,723.25,1.0,1.0,1.0,13025.0,1.0,-0.0297951582868,13.025,index,-1.0,-1.0,2016-11-03,-1.0,-1.0,-3.0,-3.0,1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
W,@WH7,416.25,8.627843045,0.0195958358849,1.0,1.0,1.0,1.0,-1.0,25.0,2016-11-02,431.39215225,2.0,1.0,1.0,20812.5,1.0,0.0195958358849,416.25,grain,1.0,1.0,2016-12-01,-1.0,-1.0,-6.0,-6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,815.676668708,815.676668708,815.676668708,-815.676668708,815.676668708,-815.676668708,815.676668708,-815.676668708,815.676668708,815.676668708,815.676668708,815.676668708,-815.676668708,-815.676668708,-815.676668708,-815.676668708,-815.676668708,815.676668708,-815.676668708,815.676668708,-815.676668708,-815.676668708,-815.676668708,-815.676668708,-815.676668708,-815.676668708,815.676668708,815.676668708,815.676668708,815.676668708,0.0,-815.676668708,815.676668708,0.0,-815.676668708
YA,APZ6,5559.0,57.1,0.00324851109908,1.0,1.0,1.0,1.0,-1.0,13.0,2016-11-21,1063.773,1.0,1.0,1.0,103564.17,1.34192163178,0.00324851109908,5559.0,index,1.0,-1.0,2016-11-21,-1.0,-1.0,14.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
YB,HBSM7,98.25,0.031,-0.000101770812131,-1.0,1.0,-1.0,1.0,-1.0,10.0,2016-11-24,55.44288,18.0,5.0,5.0,175718.16,1.34192163178,-0.000101770812131,98.25,rates,-1.0,1.0,2016-11-24,-1.0,-1.0,11.0,11.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
YM,@YMZ6,19769.0,116.25,0.00754293868814,1.0,1.0,-1.0,1.0,1.0,23.0,2016-11-04,581.25,1.0,1.0,1.0,98845.0,1.0,0.00754293868814,19769.0,index,1.0,1.0,2016-11-04,1.0,1.0,24.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,745.581774629,745.581774629,745.581774629,-745.581774629,745.581774629,-745.581774629,745.581774629,-745.581774629,745.581774629,745.581774629,-745.581774629,745.581774629,-745.581774629,-745.581774629,745.581774629,745.581774629,745.581774629,-745.581774629,745.581774629,-745.581774629,745.581774629,-745.581774629,-745.581774629,-745.581774629,0.0,-745.581774629,-745.581774629,-745.581774629,-745.581774629,-745.581774629,-745.581774629,745.581774629,745.581774629,745.581774629,-745.581774629
YT2,HTSZ6,98.06,0.06925,-0.000509632045663,-1.0,1.0,1.0,1.0,-1.0,-21.0,2016-11-09,144.49428,6.0,2.0,2.0,204608.0736,1.34192163178,-0.000509632045663,98.06,rates,-1.0,1.0,2016-11-09,-1.0,-1.0,-22.0,-22.0,1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
YT3,HXSZ6,97.21,0.093,-0.000924974306269,-1.0,-1.0,1.0,-1.0,-1.0,-21.0,2016-11-09,554.4288,1.0,1.0,1.0,579527.136,1.34192163178,-0.000924974306269,97.21,rates,-1.0,1.0,2016-11-09,-1.0,-1.0,-22.0,-22.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
