dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp
2016-05-30,-0.000426125075625,0.0,0.00279751442472,0.0,100658.22,-20.46,both_gainAhead_PCA10_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,-0.000304909035471,wf_is_pv2e_p2p,100457.68,-20.42,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is15,1.0,,
2016-05-31,-0.00262184095254,0.0,0.00246717581898,0.0,100627.53,-30.69,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,100427.05,-30.63,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is27,1.0,1406.1933,20160531 23:26:11 EDT
2016-06-01 00:00:00,-0.00126374293336,0.0,0.00161514570617,0.0,100596.86,0.0,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,100410.66,0.0,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is27,1.0,1345.82246667,20160601 22:25:49 EDT
2016-06-01 00:00:00,6.79213796317e-06,0.000111,0.00161514570617,0.0,100014.31,0.0,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100038.64,0.0,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is27,1.0,2530.52616667,20160602 18:10:31 EDT
2016-06-02 00:00:00,-0.000244746448863,0.0,0.00186500961648,4.00057861257,100010.46,26.49,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100026.65,26.5,4.00122600996,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is29,1.0,1232.07096667,20160602 20:32:04 EDT
2016-06-03 00:00:00,0.000513606428143,6e-05,0.00131876094679,0.0,100071.33,40.67,both_gainAhead_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100050.99,20.33,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is29,1.0,1271.1853,20160603 21:11:11 EDT
2016-06-06 00:00:00,0.000641530455736,5.99994600036e-05,0.00161514570617,0.0,100264.64,122.11,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100156.7,61.03,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is27,1.0,1246.5146,20160606 20:46:30 EDT
2016-06-07 00:00:00,-0.00448245566054,0.0,0.00186500961648,2.00203514825,100099.76,-144.52,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,100065.18,-71.18,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f96_is27,1.0,1241.82288333,20160607 20:41:49 EDT
2016-06-08 00:00:00,0.000680191355285,0.0,0.00114208048144,6.00208074494,100028.68,24.49,both_gainAhead_PCA10_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,100077.4,26.5,4.00325613293,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is6,1.0,1345.72378333,20160608 22:25:43 EDT
2016-06-09 00:00:00,0.000218276609476,0.000121999417053,0.00131876094679,0.0,100105.74,30.5,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100084.41,15.25,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f96_is27,1.0,1255.53088333,20160609 20:55:31 EDT
2016-06-09 00:00:00,-0.00105169422984,0.0,0.00131876094679,2.00680276989,100338.13,-32.6,both_gainAhead_PCA10_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,100184.24,-15.27,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is7,1.0,1318.0702,20160609 21:58:04 EDT
2016-06-09 00:00:00,0.000134946145502,9.99984485274e-05,0.00131876094679,0.0,100105.74,30.5,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100084.41,15.25,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is27,1.0,1357.67578333,20160609 22:37:40 EDT
2016-06-09 00:00:00,0.000218277859565,0.000110997485631,0.00131876094679,0.0,100105.74,30.5,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100084.41,15.25,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is27,1.0,1469.2394,20160610 00:29:14 EDT
