dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.000396226015975,0.0,0.00161514570617,4.0086260343,100211.64,26.49,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100244.17,26.5,4.00992723032,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is44,1.0,,
2016-06-30,-0.0007172634233,0.0,0.00186500961648,4.0084656,100207.63,-4.01,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100240.16,-4.01,4.0097668,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160701 00:16:50 EDT
2016-07-01 00:00:00,0.00132162797706,5.99996318472e-05,0.00208514414057,0.0,100266.66,61.03,both_gainAhead_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,100254.38,30.52,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f86_is6,1.0,1.0,20160701 20:50:39 EDT
2016-07-04 00:00:00,0.000179864855165,0.000488122784791,0.00228416096288,2.00537242628,100266.62,48.85,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100260.5,50.85,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f91_is16,1.0,1.0,20160704 20:32:43 EDT
2016-07-05 00:00:00,0.000747485265018,0.00046813258875,0.00246717581898,2.00590261078,100293.12,28.53,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100287.01,30.54,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160705 20:34:19 EDT
2016-07-05 00:00:00,-0.000293622674663,0.0,0.00246717581898,0.0,100295.13,30.54,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100287.01,30.54,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160705 23:05:50 EDT
2016-07-06 00:00:00,0.00221704469676,0.000332006862274,0.00246717581898,0.0,100374.56,81.44,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100327.73,40.72,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is44,1.0,1.0,20160706 21:17:39 EDT
2016-07-07 00:00:00,-0.000395851353119,0.0,0.00131876094679,2.0074912,100372.55,-2.01,both_gainAhead_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100327.73,0.0,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is44,1.0,1.0,20160707 21:43:26 EDT
2016-07-08 00:00:00,-0.00137746425591,0.0,0.00161514570617,4.01408728774,100348.17,-24.38,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100303.36,-24.37,4.01229485154,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160708 20:53:28 EDT
2016-07-11 00:00:00,-0.000237129558411,0.0,0.00186500961648,4.01474147968,100364.52,16.35,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100319.7,16.34,4.01294871589,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160711 21:05:23 EDT
2016-07-12 00:00:00,-0.00193803538058,0.0,0.00208514414057,0.0,100333.96,-30.56,both_gainAhead_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100289.15,-30.55,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160712 21:04:02 EDT
2016-07-13 00:00:00,-0.00181945093154,0.0,0.00186500961648,0.0,100323.77,-10.19,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100278.97,-10.18,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160713 21:27:39 EDT
2016-07-14 00:00:00,-0.00142787426648,0.0,0.00208514414057,4.01173132372,100289.27,6.17,both_gainAhead_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100285.14,6.17,4.01156610695,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160714 20:49:56 EDT
2016-07-15 00:00:00,-0.000862053807116,0.0,0.00228416096288,4.0136050726,100336.11,6.17,both_gainAhead_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100291.31,6.17,4.01181289065,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160715 21:24:26 EDT
2016-07-18 00:00:00,-0.000122185580986,0.0,0.00246717581898,0.0,100346.3,10.19,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100301.49,10.18,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is18,1.0,1.0,20160718 21:22:42 EDT
