PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
4,1457082311,2016-03-03 06:17:10,1457003830,0.99733,,forex,long,,1457079579,closed,2016-03-03 05:09:09,0.99693,10000,,1,1,,USDCHF,,100963711,
4,1457082311,2016-03-03 03:24:48,1456993488,0.99755,,forex,long,,1457079579,closed,2016-03-03 02:41:30,0.99712,10000,,1,1,,USDCHF,,100962531,
45,1457082311,2016-03-03 09:01:12,1457013672,0.99285,,forex,short,,1457079579,closed,2016-03-03 06:17:11,0.99733,10000,,1,1,,USDCHF,,100964228,
13,1457082311,,,0.99402,,forex,short,2016-03-04 04:05:11,1457082311,open,2016-03-04 04:01:26,0.99387,10000,,0,1,,USDCHF,,100987237,
5,1457082311,2016-03-03 05:09:08,1456999748,0.99696,,forex,short,,1457079579,closed,2016-03-03 03:25:00,0.99742,10000,,1,1,,USDCHF,,100962939,
-35,1457082311,2016-03-04 02:01:21,1457074881,0.992406666666667,,forex,short,,1457079579,closed,2016-03-03 10:01:18,0.99125,10000,,3,3,,USDCHF,,100968868,
24,1457082311,2016-03-04 04:01:15,1457082075,0.99394,,forex,long,,1457079579,closed,2016-03-04 02:01:32,0.99154,10000,,1,1,,USDCHF,,100986307,
-21,1457082311,2016-03-03 10:01:17,1457017277,0.99076,,forex,long,,1457079579,closed,2016-03-03 09:01:15,0.99287,10000,,1,1,,USDCHF,,100966035,
