PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
-7,1457330729,2016-03-04 02:01:07,1457074867,1.41618,,forex,short,,1457079578,closed,2016-03-04 00:01:26,1.41548,10000,,1,1,,GBPUSD,,100984287,
6,1457334322,2016-03-06 18:01:32,1457305292,1.42226,,forex,long,,1457118370,closed,2016-03-04 14:02:11,1.42162,10000,,1,1,,GBPUSD,,100998845,
10,1457334322,2016-03-04 14:01:59,1457118119,1.42164,,forex,short,,1457111152,closed,2016-03-04 12:01:54,1.42261,10000,,1,1,,GBPUSD,,100996202,
3,1457186793,2016-03-03 05:01:45,1456999305,1.40718,,forex,long,,1457079578,closed,2016-03-03 03:24:37,1.40687,10000,,1,1,,GBPUSD,,100962936,
-12,1457186793,2016-03-03 11:01:18,1457020878,1.41585,,forex,short,,1457079578,closed,2016-03-03 10:01:16,1.41464,10000,,1,1,,GBPUSD,,100968862,
-1,1457186793,2016-03-03 06:17:08,1457003828,1.40693,,forex,long,,1457079578,closed,2016-03-03 06:12:48,1.40703,10000,,1,1,,GBPUSD,,100964164,
-3,1457334322,2016-03-04 03:01:07,1457078467,1.41588,,forex,long,,1457079578,closed,2016-03-04 02:01:19,1.41613,10000,,1,1,,GBPUSD,,100986304,
6,1457186793,2016-03-03 07:01:19,1457006479,1.40629,,forex,short,,1457079578,closed,2016-03-03 06:17:09,1.40692,10000,,1,1,,GBPUSD,,100964225,
-2,1457334322,2016-03-07 00:01:34,1457326894,1.42095,,forex,long,,1457323547,closed,2016-03-06 23:01:49,1.42118,10000,,1,1,,GBPUSD,,101008940,
15,1457327130,,,1.42113,,forex,short,2016-03-07 00:05:30,1457327130,open,2016-03-07 00:01:46,1.42093,10000,,0,1,,GBPUSD,,101010742,
-2,1457323988,2016-03-04 00:01:25,1457067685,1.41611,,forex,long,,1457079578,closed,2016-03-03 11:01:20,1.41615,10000,,4,4,,GBPUSD,,100970604,
1,1457186793,2016-03-03 03:24:25,1456993465,1.40751,,forex,short,,1457079578,closed,2016-03-03 02:41:17,1.40765,10000,,1,1,,GBPUSD,,100962529,
1,1457186793,2016-03-03 06:12:47,1457003567,1.40711,,forex,short,,1457079578,closed,2016-03-03 05:01:46,1.40718,10000,,1,1,,GBPUSD,,100963635,
10,1457334322,2016-03-06 23:01:38,1457323298,1.42126,,forex,short,,1457305524,closed,2016-03-06 18:01:43,1.42228,10000,,1,1,,GBPUSD,,101006972,
84,1457186793,2016-03-03 10:01:15,1457017275,1.41459,,forex,long,,1457079578,closed,2016-03-03 07:01:19,1.40619,10000,,1,1,,GBPUSD,,100964534,
72,1457334322,2016-03-04 12:01:43,1457110903,1.42237,,forex,long,,1457093123,closed,2016-03-04 07:01:23,1.41513,10000,,1,1,,GBPUSD,,100988340,
8,1457334322,2016-03-04 07:01:12,1457092872,1.41525,,forex,short,,1457079578,closed,2016-03-04 03:01:18,1.41606,10000,,1,1,,GBPUSD,,100986720,
