PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
4,1457186793,2016-03-03 06:17:10,1457003830,0.99733,,forex,long,,1457079579,closed,2016-03-03 05:09:09,0.99693,10000,,1,1,,USDCHF,,100963711,
4,1457186793,2016-03-03 03:24:48,1456993488,0.99755,,forex,long,,1457079579,closed,2016-03-03 02:41:30,0.99712,10000,,1,1,,USDCHF,,100962531,
-47,1457359537,2016-03-04 13:01:28,1457114488,0.99381,,forex,short,,1457100360,closed,2016-03-04 09:02:20,0.98913,10000,,1,1,,USDCHF,,100990107,
7,1457359537,2016-03-04 14:02:11,1457118131,0.99443,,forex,long,,1457114729,closed,2016-03-04 13:01:40,0.99378,10000,,1,1,,USDCHF,,100997399,
45,1457186793,2016-03-03 09:01:12,1457013672,0.99285,,forex,short,,1457079579,closed,2016-03-03 06:17:11,0.99733,10000,,1,1,,USDCHF,,100964228,
18,1457349091,2016-03-04 07:01:24,1457092884,0.99207,,forex,short,,1457082311,closed,2016-03-04 04:01:26,0.99387,10000,,1,1,,USDCHF,,100987237,
51,1457359537,2016-03-07 04:01:40,1457341300,0.99924,,forex,long,,1457334322,closed,2016-03-07 02:01:49,0.99418,10000,,1,1,,USDCHF,,101011504,
5,1457186793,2016-03-03 05:09:08,1456999748,0.99696,,forex,short,,1457079579,closed,2016-03-03 03:25:00,0.99742,10000,,1,1,,USDCHF,,100962939,
-35,1457330730,2016-03-04 02:01:21,1457074881,0.99241,,forex,short,,1457079579,closed,2016-03-03 10:01:18,0.99125,10000,,3,3,,USDCHF,,100968868,
-31,1457356292,2016-03-04 09:02:09,1457100129,0.98894,,forex,long,,1457093123,closed,2016-03-04 07:01:35,0.99200,10000,,1,1,,USDCHF,,100988346,
24,1457334723,2016-03-04 04:01:15,1457082075,0.99394,,forex,long,,1457079579,closed,2016-03-04 02:01:32,0.99154,10000,,1,1,,USDCHF,,100986307,
2,1457359537,2016-03-07 02:01:38,1457334098,0.99427,,forex,short,,1457118371,closed,2016-03-04 14:02:22,0.99444,10000,,1,1,,USDCHF,,100998853,
-21,1457186793,2016-03-03 10:01:17,1457017277,0.99076,,forex,long,,1457079579,closed,2016-03-03 09:01:15,0.99287,10000,,1,1,,USDCHF,,100966035,
-9,1457341537,,,0.99927,,forex,short,2016-03-07 04:05:37,1457341537,open,2016-03-07 04:01:52,0.99917,10000,,0,1,,USDCHF,,101012475,
