trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,purebalance,unr_pnl
1.0,-204.0,20160504 22:36:26 EST,20160504 22:36:26 EST,20160504 22:36:26 EST,941.64,,#Denmark20,short,,20160504 20:59:24 EST,closed,20160504 20:59:24 EST,939.64,,,2.0,2.0,,#Denmark20,,-200.0,2.0,USD,99798.0,4.0,2094164.0,99798.0,99800.0,,99800.0,
2.0,-204.0,20160504 23:04:11 EST,20160504 23:04:11 EST,20160504 23:04:11 EST,939.64,,#Denmark20,long,,20160504 22:36:26 EST,closed,20160504 22:36:26 EST,941.64,,,2.0,2.0,,#Denmark20,,-200.0,-2.0,USD,99596.0,4.0,2188128.0,99596.0,99600.0,,99600.0,
3.0,-204.0,20160504 23:53:46 EST,20160504 23:53:46 EST,20160504 23:53:46 EST,941.64,,#Denmark20,short,,20160504 23:04:11 EST,closed,20160504 23:04:11 EST,939.64,,,2.0,2.0,,#Denmark20,,-200.0,2.0,USD,99394.0,4.0,2282292.0,99394.0,99400.0,,99400.0,
4.0,-204.0,20160505 00:10:45 EST,20160505 00:10:45 EST,20160505 00:10:45 EST,939.64,,#Denmark20,long,,20160504 23:53:46 EST,closed,20160504 23:53:46 EST,941.64,,,2.0,2.0,,#Denmark20,,-200.0,-2.0,USD,99192.0,4.0,2376256.0,99192.0,99200.0,,99200.0,
5.0,-204.0,20160505 05:47:09 EST,20160505 05:47:09 EST,20160505 05:47:09 EST,941.64,,#Denmark20,short,,20160505 00:10:45 EST,closed,20160505 00:10:45 EST,939.64,,,2.0,2.0,,#Denmark20,,-200.0,2.0,USD,98990.0,4.0,2470420.0,98990.0,99000.0,,99000.0,
6.0,-204.0,20160505 06:02:39 EST,20160505 06:02:39 EST,20160505 06:02:39 EST,939.64,,#Denmark20,long,,20160505 05:47:09 EST,closed,20160505 05:47:09 EST,941.64,,,2.0,2.0,,#Denmark20,,-200.0,-2.0,USD,98788.0,4.0,2564384.0,98788.0,98800.0,,98800.0,
7.0,-204.0,20160505 06:53:29 EST,20160505 06:53:29 EST,20160505 06:53:29 EST,941.64,,#Denmark20,short,,20160505 06:02:39 EST,closed,20160505 06:02:39 EST,939.64,,,2.0,2.0,,#Denmark20,,-200.0,2.0,USD,98586.0,4.0,2658548.0,98586.0,98600.0,,98600.0,
8.0,-204.0,20160505 07:07:03 EST,20160505 07:07:03 EST,20160505 07:07:03 EST,939.64,,#Denmark20,long,,20160505 06:53:29 EST,closed,20160505 06:53:29 EST,941.64,,,2.0,2.0,,#Denmark20,,-200.0,-2.0,USD,98384.0,4.0,2752512.0,98384.0,98400.0,,98400.0,
9.0,-204.0,20160505 12:59:45 EST,20160505 12:59:45 EST,20160505 12:59:45 EST,941.64,,#Denmark20,short,,20160505 07:07:03 EST,closed,20160505 07:07:03 EST,939.64,,,2.0,2.0,,#Denmark20,,-200.0,2.0,USD,98182.0,4.0,2846676.0,98182.0,98200.0,,98200.0,
10.0,-204.0,20160505 13:14:32 EST,20160505 13:14:32 EST,20160505 13:14:32 EST,939.64,,#Denmark20,long,,20160505 12:59:45 EST,closed,20160505 12:59:45 EST,941.64,,,2.0,2.0,,#Denmark20,,-200.0,-2.0,USD,97980.0,4.0,2940640.0,97980.0,98000.0,,98000.0,
