symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
GBPUSD,open,long,1.0,0.0,1.43799,0.0,-2.0,0.0,2.0,3.0,,,,,GBPUSD,,20160329 19:20:29 EST,20160329 19:20:29 EST,1.0,19992.0,348749.844,20000.0
NZDJPY,open,long,1.0,0.0,77.28,0.0,-2.0,0.0,2.0,6.0,,,,,NZDJPY,,20160329 19:20:31 EST,20160329 19:20:31 EST,1.0,19986.0,332110.6327,20000.0
EURUSD,open,long,1.0,0.0,1.12975,0.0,-2.0,0.0,2.0,103.0,,,,,EURUSD,,20160330 02:58:07 EST,20160330 02:58:07 EST,1.0,19493.73552,277769.32227,19887.73552
USDCAD,open,short,1.0,0.0,1.30253,0.0,-2.0,0.0,2.0,125.0,,,,,USDCAD,,20160330 04:42:55 EST,20160330 04:42:55 EST,-1.0,19574.80484,289459.85732,20058.80484
EURCHF,open,long,1.0,0.0,1.09168,0.0,-2.0,0.0,2.0,131.0,,,,,EURCHF,,20160330 05:03:38 EST,20160330 05:03:38 EST,1.0,19533.38232,256951.18174,20035.38232
USDCHF,open,short,1.0,0.0,0.96418,0.0,-2.0,0.0,2.0,136.0,,,,,USDCHF,,20160330 05:38:15 EST,20160330 05:38:15 EST,-1.0,19448.88582,279665.87262,19974.88582
CADJPY,open,long,1.0,0.0,86.104,0.0,-2.0,0.0,2.0,140.0,,,,,CADJPY,,20160330 05:55:02 EST,20160330 05:55:02 EST,1.0,19429.40582,260412.81538,19967.40582
NZDUSD,open,long,1.0,0.0,0.69301,0.0,-2.0,0.0,2.0,146.0,,,,,NZDUSD,,20160330 06:52:12 EST,20160330 06:52:12 EST,1.0,19382.04182,271307.05938,19946.04182
CHFJPY,open,long,1.0,0.0,116.565,0.0,-2.0,0.0,2.0,148.0,,,,,CHFJPY,,20160330 07:02:15 EST,20160330 07:02:15 EST,1.0,19362.92982,257721.71938,19932.92982
EURJPY,open,long,1.0,0.0,127.116,0.0,-2.0,0.0,2.0,149.0,,,,,EURJPY,,20160330 07:08:00 EST,20160330 07:08:00 EST,1.0,19359.63382,256793.75938,19933.63382
AUDUSD,open,long,1.0,0.0,0.76691,0.0,-2.0,0.0,2.0,151.0,,,,,AUDUSD,,20160330 07:15:43 EST,20160330 07:15:43 EST,1.0,19316.15382,260308.86738,19898.15382
AUDJPY,open,short,1.0,0.0,86.149,0.0,-2.0,0.0,2.0,152.0,,,,,AUDJPY,,20160330 07:38:28 EST,20160330 07:38:28 EST,-1.0,19301.46742,278136.79078,19889.46742
