account,clientid,exchange,execid,expiry,orderid,permid,price,qty,side,symbol,symbol_currency,times
DU159913,5790,IDEALPRO,0001f4e8.56e60694.01.01,,1,192239546,1.11645,50000,BOT,EUR,USD,20160314  01:42:19
DU159913,1911,IDEALPRO,0001f4e8.56e60695.01.01,,1,192239547,1.1164,50000,BOT,EUR,USD,20160314  01:42:33
DU159913,4038,IDEALPRO,0001f4e8.56e606b4.01.01,,1,192239548,1.1163,50000,SLD,EUR,USD,20160314  01:45:19
DU159913,3387,IDEALPRO,0001f4e8.56e606b7.01.01,,1,192239549,1.1163,50000,SLD,EUR,USD,20160314  01:45:22
DU159913,8306,IDEALPRO,0001f4e8.56e6070a.01.01,,1,192239550,1.11595,50000,BOT,EUR,USD,20160314  01:48:36
DU159913,4052,IDEALPRO,0001f4e8.56e6070b.01.01,,1,192239551,1.11595,50000,BOT,EUR,USD,20160314  01:48:40
DU159913,9091,IDEALPRO,0001f4e8.56e6073a.01.01,,1,192239552,1.1158,50000,SLD,EUR,USD,20160314  01:51:34
DU159913,460,IDEALPRO,0001f4e8.56e6073d.01.01,,1,192239553,1.1158,50000,SLD,EUR,USD,20160314  01:51:40
DU159913,4367,IDEALPRO,0001f4e8.56e60740.01.01,,1,192239554,0.75675,50000,SLD,AUD,USD,20160314  01:51:48
DU159913,2704,IDEALPRO,0001f4e8.56e607ab.01.01,,1,192239595,1.11595,50000,BOT,EUR,USD,20160314  01:55:43
DU159913,7219,IDEALPRO,0001f4e8.56e607ad.01.01,,1,192239596,1.11595,50000,BOT,EUR,USD,20160314  01:55:46
DU159913,9472,IDEALPRO,0001f4e8.56e607af.01.01,,1,192239597,113.78,50000,BOT,USD,JPY,20160314  01:55:52
DU159913,4447,IDEALPRO,0001f4e8.56e607b1.01.01,,1,192239598,1.3229,50000,BOT,USD,CAD,20160314  01:55:57
DU159913,7165,IDEALPRO,0001f4e8.56e607f6.01.01,,1,192239599,1.11585,50000,SLD,EUR,USD,20160314  01:59:22
DU159913,291,IDEALPRO,0001f4e8.56e607f7.01.01,,1,192239600,1.11585,50000,SLD,EUR,USD,20160314  01:59:25
DU159913,4320,IDEALPRO,0001f4e8.56e6086b.01.01,,1,192239601,1.11635,50000,BOT,EUR,USD,20160314  02:02:53
DU159913,3355,IDEALPRO,0001f4e8.56e6086c.01.01,,1,192239602,1.11635,50000,BOT,EUR,USD,20160314  02:02:56
DU159913,5438,IDEALPRO,0001f4e8.56e608b6.01.01,,1,192239603,1.116,50000,SLD,EUR,USD,20160314  02:07:03
DU159913,4201,IDEALPRO,0001f4e8.56e608b8.01.01,,1,192239604,1.116,50000,SLD,EUR,USD,20160314  02:07:06
DU159913,2317,IDEALPRO,0001f4e8.56e6145c.01.01,,1,192239605,113.785,50000,SLD,USD,JPY,20160314  03:58:30
DU159913,8313,IDEALPRO,0001f4e8.56e615ae.01.01,,1,192239606,113.75,50000,BOT,USD,JPY,20160314  04:05:18
DU159913,41,IDEALPRO,0001f4e8.56e61622.01.01,,1,192239607,113.74,50000,SLD,USD,JPY,20160314  04:09:22
DU159913,11,IDEALPRO,0001f4e8.56e62011.01.01,,1,192239608,1.326,50000,SLD,USD,CAD,20160314  05:08:29
DU159913,8625,IDEALPRO,0001f4e8.56e622b4.01.01,,1,192239609,1.43735,50000,BOT,GBP,USD,20160314  05:24:30
DU159913,4997,IDEALPRO,0001f4e8.56e625f9.01.01,,1,192239610,0.75445,50000,BOT,AUD,USD,20160314  05:42:23
DU159913,3686,IDEALPRO,0001f4e8.56e62956.01.01,,1,192239611,113.615,50000,BOT,USD,JPY,20160314  06:09:22
DU159913,5796,IDEALPRO,0001f4e8.56e62a50.01.01,,1,192239612,1.3251,50000,BOT,USD,CAD,20160314  06:16:47
DU159913,9697,IDEALPRO,0001f4e8.56e62b18.01.01,,1,192239613,1.43545,50000,SLD,GBP,USD,20160314  06:20:30
DU159913,8960,IDEALPRO,0001f4e8.56e63217.01.01,,1,192239614,113.72,50000,SLD,USD,JPY,20160314  07:09:21
DU159913,6185,IDEALPRO,0001f4e8.56e633b1.01.01,,1,192239615,1.32385,50000,SLD,USD,CAD,20160314  07:25:42
DU159913,6151,IDEALPRO,0001f4e8.56e6350f.01.01,,1,192239616,113.655,50000,BOT,USD,JPY,20160314  07:39:22
DU159913,626,IDEALPRO,0001f4e8.56e637d4.01.01,,1,192239617,1.3255,50000,BOT,USD,CAD,20160314  07:59:33
DU159913,1907,IDEALPRO,0001f4e8.56e63ae8.01.01,,1,192239618,1.32365,50000,SLD,USD,CAD,20160314  08:22:33
DU159913,4945,IDEALPRO,0001f4e8.56e63cef.01.01,,1,192239619,1.4365,50000,BOT,GBP,USD,20160314  08:36:11
DU159913,5086,IDEALPRO,0001f4e8.56e63cf3.01.01,,1,192239620,0.9864,50000,SLD,USD,CHF,20160314  08:36:14
DU159913,2496,IDEALPRO,0001f4e8.56e63cf5.01.01,,1,192239621,113.64,50000,SLD,USD,JPY,20160314  08:36:17
DU159913,9656,IDEALPRO,0001f4e8.56e63d6e.01.01,,1,192239622,1.43615,50000,SLD,GBP,USD,20160314  08:39:49
DU159913,9555,IDEALPRO,0001f4e8.56e63f19.01.01,,1,192239623,1.43595,50000,BOT,GBP,USD,20160314  08:49:46
DU159913,5006,IDEALPRO,0001f4e8.56e63f1a.01.01,,1,192239624,0.75415,50000,SLD,AUD,USD,20160314  08:49:52
DU159913,4166,IDEALPRO,0001f4e8.56e63fba.01.01,,1,192239625,1.11265,50000,BOT,EUR,USD,20160314  08:53:36
DU159913,5280,IDEALPRO,0001f4e8.56e63fc2.01.01,,1,192239626,1.11265,50000,BOT,EUR,USD,20160314  08:53:43
DU159913,7424,IDEALPRO,0001f4e8.56e6408c.01.01,,1,192239627,1.1129,50000,SLD,EUR,USD,20160314  08:57:50
DU159913,4600,IDEALPRO,0001f4e8.56e64093.01.01,,1,192239628,1.11285,50000,SLD,EUR,USD,20160314  08:57:54
DU159913,4663,IDEALPRO,0001f4e8.56e64098.01.01,,1,192239629,1.43675,50000,SLD,GBP,USD,20160314  08:57:57
DU159913,5676,IDEALPRO,0001f4e8.56e64099.01.01,,1,192239630,0.98575,50000,BOT,USD,CHF,20160314  08:58:00
DU159913,5446,IDEALPRO,0001f4e8.56e64152.01.01,,1,192239631,1.1127,50000,BOT,EUR,USD,20160314  09:02:06
DU159913,2708,IDEALPRO,0001f4e8.56e64153.01.01,,1,192239632,1.11275,50000,BOT,EUR,USD,20160314  09:02:09
DU159913,7302,IDEALPRO,0001f4e8.56e6415a.01.01,,1,192239633,0.9856,50000,SLD,USD,CHF,20160314  09:02:14
DU159913,6395,IDEALPRO,0001f4e8.56e6415d.01.01,,1,192239634,113.615,50000,BOT,USD,JPY,20160314  09:02:17
DU159913,5286,IDEALPRO,0001f4e8.56e64163.01.01,,1,192239635,0.75435,50000,BOT,AUD,USD,20160314  09:02:21
DU159913,7703,IDEALPRO,0001f4e8.56e64164.01.01,,1,192239636,1.3248,50000,BOT,USD,CAD,20160314  09:02:24
DU159913,1214,IDEALPRO,0001f4e8.56e6422d.01.01,,1,192239637,1.11235,50000,SLD,EUR,USD,20160314  09:07:35
DU159913,8479,IDEALPRO,0001f4e8.56e6422f.01.01,,1,192239638,1.11235,50000,SLD,EUR,USD,20160314  09:07:38
DU159913,8200,IDEALPRO,0001f4e8.56e64230.01.01,,1,192239639,113.605,50000,SLD,USD,JPY,20160314  09:07:43
DU159913,7503,IDEALPRO,0001f4e8.56e64239.01.01,,1,192239640,0.75395,50000,SLD,AUD,USD,20160314  09:07:51
DU159913,5626,IDEALPRO,0001f4e8.56e6428f.01.01,,1,192239641,1.11225,50000,BOT,EUR,USD,20160314  09:11:35
DU159913,6566,IDEALPRO,0001f4e8.56e64290.01.01,,1,192239642,1.11225,50000,BOT,EUR,USD,20160314  09:11:40
DU159913,1013,IDEALPRO,0001f4e8.56e64292.01.01,,1,192239643,1.43635,50000,BOT,GBP,USD,20160314  09:11:43
DU159913,2301,IDEALPRO,0001f4e8.56e6433f.01.01,,1,192239644,1.11175,50000,SLD,EUR,USD,20160314  09:15:49
DU159913,6771,IDEALPRO,0001f4e8.56e64342.01.01,,1,192239645,1.1118,50000,SLD,EUR,USD,20160314  09:15:52
DU159913,3669,IDEALPRO,0001f4e8.56e64345.01.01,,1,192239646,1.4361,50000,SLD,GBP,USD,20160314  09:15:56
DU159913,5323,IDEALPRO,0001f4e8.56e64346.01.01,,1,192239647,113.645,50000,BOT,USD,JPY,20160314  09:16:00
DU159913,4542,IDEALPRO,0001f4e8.56e643ba.01.01,,1,192239648,1.1117,50000,BOT,EUR,USD,20160314  09:19:48
DU159913,2966,IDEALPRO,0001f4e8.56e643bb.01.01,,1,192239649,1.11165,50000,BOT,EUR,USD,20160314  09:19:51
DU159913,3786,IDEALPRO,0001f4e8.56e643bc.01.01,,1,192239650,1.4365,50000,BOT,GBP,USD,20160314  09:19:54
DU159913,4984,IDEALPRO,0001f4e8.56e643bd.01.01,,2,192239651,0.98675,50000,BOT,USD,CHF,20160314  09:19:58
DU159913,6470,IDEALPRO,0001f4e8.56e64440.01.01,,1,192239652,1.11135,50000,SLD,EUR,USD,20160314  09:23:42
DU159913,3432,IDEALPRO,0001f4e8.56e64442.01.01,,1,192239653,1.11135,50000,SLD,EUR,USD,20160314  09:23:46
DU159913,9445,IDEALPRO,0001f4e8.56e64445.01.01,,1,192239654,0.9868,50000,SLD,USD,CHF,20160314  09:23:50
DU159913,4682,IDEALPRO,0001f4e8.56e64449.01.01,,1,192239655,1.3257,50000,SLD,USD,CAD,20160314  09:23:55
DU159913,1567,IDEALPRO,0001f4e8.56e64500.01.01,,1,192239656,1.11115,50000,BOT,EUR,USD,20160314  09:28:16
DU159913,806,IDEALPRO,0001f4e8.56e6450a.01.01,,1,192239657,1.11105,50000,BOT,EUR,USD,20160314  09:28:20
DU159913,5923,IDEALPRO,0001f4e8.56e645b8.01.01,,2,192239658,1.1108,50000,SLD,EUR,USD,20160314  09:31:58
DU159913,5115,IDEALPRO,0001f4e8.56e645c0.01.01,,1,192239659,1.11075,50000,SLD,EUR,USD,20160314  09:32:03
DU159913,3047,IDEALPRO,0001f4e8.56e6472d.01.01,,1,192239660,1.4339,50000,SLD,GBP,USD,20160314  09:37:05
DU159913,4335,IDEALPRO,0001f4e8.56e6481a.01.01,,1,192239661,113.67,50000,SLD,USD,JPY,20160314  09:41:58
DU159913,5816,IDEALPRO,0001f4e8.56e6481e.01.01,,1,192239662,1.32725,50000,BOT,USD,CAD,20160314  09:42:02
DU159913,5610,IDEALPRO,0001f4e8.56e648fd.01.01,,1,192239663,1.43255,50000,BOT,GBP,USD,20160314  09:46:06
DU159913,9303,IDEALPRO,0001f4e8.56e64901.01.01,,1,192239664,0.98795,50000,BOT,USD,CHF,20160314  09:46:10
DU159913,8182,IDEALPRO,0001f4e8.56e6490f.01.01,,1,192239665,1.3288,50000,SLD,USD,CAD,20160314  09:46:15
DU159913,2254,IDEALPRO,0001f4e8.56e649de.01.01,,1,192239666,1.4328,50000,SLD,GBP,USD,20160314  09:50:03
DU159913,2336,IDEALPRO,0001f4e8.56e649e0.01.01,,1,192239667,113.61,50000,BOT,USD,JPY,20160314  09:50:07
DU159913,9682,IDEALPRO,0001f4e8.56e649e2.01.01,,1,192239668,0.75105,50000,BOT,AUD,USD,20160314  09:50:10
DU159913,6108,IDEALPRO,0001f4e8.56e649e9.01.01,,1,192239669,1.3297,50000,BOT,USD,CAD,20160314  09:50:14
DU159913,1926,IDEALPRO,0001f4e8.56e64a88.01.01,,1,192239670,1.4329,50000,BOT,GBP,USD,20160314  09:53:41
DU159913,6501,IDEALPRO,0001f4e8.56e64a8b.01.01,,1,192239671,0.75135,25199,SLD,AUD,USD,20160314  09:53:46
DU159913,6501,IDEALPRO,0001f4e8.56e64a8d.01.01,,1,192239671,0.75135,50000,SLD,AUD,USD,20160314  09:53:46
DU159913,4645,IDEALPRO,0001f4e8.56e64b6d.01.01,,1,192239672,1.43157,50000,SLD,GBP,USD,20160314  09:57:43
DU159913,6520,IDEALPRO,0001f4e8.56e64b72.01.01,,1,192239673,113.63,50000,SLD,USD,JPY,20160314  09:57:47
DU159913,6161,IDEALPRO,0001f4e8.56e64c7a.01.01,,1,192239674,113.67,50000,BOT,USD,JPY,20160314  10:01:44
DU159913,734,IDEALPRO,0001f4e8.56e64c84.01.01,,1,192239675,0.75138,50000,BOT,AUD,USD,20160314  10:01:49
DU159913,2431,IDEALPRO,0001f4e8.56e64d6d.01.01,,1,192239676,0.7504,50000,SLD,AUD,USD,20160314  10:06:24
DU159913,3958,IDEALPRO,0001f4e8.56e64e03.01.01,,1,192239677,0.9875,50000,SLD,USD,CHF,20160314  10:09:43
DU159913,3752,IDEALPRO,0001f4e8.56e64e06.01.01,,1,192239678,113.7,50000,SLD,USD,JPY,20160314  10:09:46
DU159913,7940,IDEALPRO,0001f4e8.56e64f24.01.01,,1,192239679,0.98745,50000,BOT,USD,CHF,20160314  10:16:45
DU159913,8143,IDEALPRO,0001f4e8.56e64f28.01.01,,1,192239680,113.705,50000,BOT,USD,JPY,20160314  10:16:49
DU159913,3028,IDEALPRO,0001f4e8.56e64feb.01.01,,1,192239681,0.9873,50000,SLD,USD,CHF,20160314  10:20:44
DU159913,5734,IDEALPRO,0001f4e8.56e64ff0.01.01,,1,192239682,0.75085,50000,BOT,AUD,USD,20160314  10:20:48
DU159913,2068,IDEALPRO,0001f4e8.56e65083.01.01,,1,192239683,0.987,50000,BOT,USD,CHF,20160314  10:24:44
DU159913,1628,IDEALPRO,0001f4e8.56e65085.01.01,,1,192239684,113.72,50000,SLD,USD,JPY,20160314  10:24:47
DU159913,5841,IDEALPRO,0001f4e8.56e65141.01.01,,1,192239685,0.98645,50000,SLD,USD,CHF,20160314  10:28:28
DU159913,2704,IDEALPRO,0001f4e8.56e651db.01.01,,2,192239686,0.98595,50000,BOT,USD,CHF,20160314  10:31:27
DU159913,4986,IDEALPRO,0001f4e8.56e652a5.01.01,,1,192239687,113.68,50000,BOT,USD,JPY,20160314  10:35:14
DU159913,9087,IDEALPRO,0001f4e8.56e654f6.01.01,,1,192239688,1.3268,50000,SLD,USD,CAD,20160314  10:47:31
DU159913,5041,IDEALPRO,0001f4e8.56e6556e.01.01,,1,192239689,113.725,50000,SLD,USD,JPY,20160314  10:50:29
DU159913,9839,IDEALPRO,0001f4e8.56e656a0.01.01,,1,192239690,113.75,50000,BOT,USD,JPY,20160314  10:53:30
DU159913,4987,IDEALPRO,0001f4e8.56e6573e.01.01,,1,192239691,113.755,50000,SLD,USD,JPY,20160314  10:56:43
DU159913,4341,IDEALPRO,0001f4e8.56e65741.01.01,,1,192239692,0.75025,50000,SLD,AUD,USD,20160314  10:56:46
DU159913,7355,IDEALPRO,0001f4e8.56e65886.01.01,,1,192239693,0.98675,50000,SLD,USD,CHF,20160314  11:03:46
DU159913,7976,IDEALPRO,0001f4e8.56e65933.01.01,,1,192239694,1.3293,50000,BOT,USD,CAD,20160314  11:08:08
DU159913,103,IDEALPRO,0001f4e8.56e659a9.01.01,,1,192239695,113.76,50000,BOT,USD,JPY,20160314  11:11:29
DU159913,4573,IDEALPRO,0001f4e8.56e65a09.01.01,,1,192239696,113.735,50000,SLD,USD,JPY,20160314  11:14:28
DU159913,4361,IDEALPRO,0001f4e8.56e65a6b.01.01,,1,192239697,0.98605,50000,BOT,USD,CHF,20160314  11:17:59
DU159913,1520,IDEALPRO,0001f4e8.56e65a74.01.01,,1,192239698,113.725,50000,BOT,USD,JPY,20160314  11:18:02
DU159913,9337,IDEALPRO,0001f4e8.56e65a7c.01.01,,1,192239699,0.75055,50000,BOT,AUD,USD,20160314  11:18:06
DU159913,9434,IDEALPRO,0001f4e8.56e65aed.01.01,,1,192239700,113.77,50000,SLD,USD,JPY,20160314  11:21:26
DU159913,6907,IDEALPRO,0001f4e8.56e65b4c.01.01,,1,192239701,0.98645,50000,SLD,USD,CHF,20160314  11:24:31
DU159913,307,IDEALPRO,0001f4e8.56e65bd4.01.01,,1,192239702,0.98635,50000,BOT,USD,CHF,20160314  11:27:29
DU159913,7644,IDEALPRO,0001f4e8.56e65c78.01.01,,1,192239703,0.9867,50000,SLD,USD,CHF,20160314  11:30:43
DU159913,221,IDEALPRO,0001f4e8.56e65c7c.01.01,,1,192239704,113.775,50000,BOT,USD,JPY,20160314  11:30:46
DU159913,3295,IDEALPRO,0001f4e8.56e65d16.01.01,,1,192239705,1.43185,50000,BOT,GBP,USD,20160314  11:35:02
DU159913,4483,IDEALPRO,0001f4e8.56e65d1d.01.01,,1,192239706,0.98655,50000,BOT,USD,CHF,20160314  11:35:05
DU159913,9755,IDEALPRO,0001f4e8.56e65d1f.01.01,,1,192239707,0.7505,50000,SLD,AUD,USD,20160314  11:35:09
DU159913,5017,IDEALPRO,0001f4e8.56e65dd2.01.01,,1,192239708,1.43215,50000,SLD,GBP,USD,20160314  11:39:19
DU159913,5440,IDEALPRO,0001f4e8.56e65dd4.01.01,,1,192239709,113.765,50000,SLD,USD,JPY,20160314  11:39:23
DU159913,3110,IDEALPRO,0001f4e8.56e65dd6.01.01,,1,192239710,0.7503,50000,BOT,AUD,USD,20160314  11:39:27
DU159913,5224,IDEALPRO,0001f4e8.56e65e3f.01.01,,1,192239711,1.432,50000,BOT,GBP,USD,20160314  11:42:42
DU159913,3380,IDEALPRO,0001f4e8.56e65e44.01.01,,1,192239712,0.7504,50000,SLD,AUD,USD,20160314  11:42:47
DU159913,2442,IDEALPRO,0001f4e8.56e65ed3.01.01,,1,192239713,1.10955,50000,BOT,EUR,USD,20160314  11:47:10
DU159913,8962,IDEALPRO,0001f4e8.56e65ed6.01.01,,1,192239714,1.1095,50000,BOT,EUR,USD,20160314  11:47:13
DU159913,3244,IDEALPRO,0001f4e8.56e65edb.01.01,,1,192239715,1.4314,50000,SLD,GBP,USD,20160314  11:47:17
DU159913,1590,IDEALPRO,0001f4e8.56e65ee1.01.01,,1,192239716,113.725,50000,BOT,USD,JPY,20160314  11:47:23
DU159913,23,IDEALPRO,0001f4e8.56e65ee4.01.01,,1,192239717,0.75025,50000,BOT,AUD,USD,20160314  11:47:27
DU159913,5048,IDEALPRO,0001f4e8.56e65f36.01.01,,1,192239718,1.1097,100000,SLD,EUR,USD,20160314  11:50:40
DU159913,7402,IDEALPRO,0001f4e8.56e65f3b.01.01,,1,192239719,1.1098,100000,SLD,EUR,USD,20160314  11:50:43
DU159913,2813,IDEALPRO,0001f4e8.56e65f44.01.01,,1,192239720,113.715,50000,SLD,USD,JPY,20160314  11:50:48
DU159913,7281,IDEALPRO,0001f4e8.56e6608f.01.01,,1,192239721,1.11075,150000,BOT,EUR,USD,20160314  11:57:40
DU159913,4807,IDEALPRO,0001f4e8.56e6609e.01.01,,1,192239722,1.1109,150000,BOT,EUR,USD,20160314  11:57:43
DU159913,6591,IDEALPRO,0001f4e8.56e66198.01.01,,1,192239724,1.11055,200000,SLD,EUR,USD,20160314  12:01:41
DU159913,3293,IDEALPRO,0001f4e8.56e66277.01.01,,1,192239726,0.98585,50000,SLD,USD,CHF,20160314  12:06:43
DU159913,8794,IDEALPRO,0001f4e8.56e66375.01.01,,1,192239727,0.98525,50000,BOT,USD,CHF,20160314  12:10:54
DU159913,8612,IDEALPRO,0001f4e8.56e66379.01.01,,1,192239728,1.3275,50000,SLD,USD,CAD,20160314  12:10:59
DU159913,1192,IDEALPRO,0001f4e8.56e6640d.01.01,,1,192239729,0.9848,50000,SLD,USD,CHF,20160314  12:14:30
DU159913,2290,IDEALPRO,0001f4e8.56e66497.01.01,,1,192239730,1.11145,50000,BOT,EUR,USD,20160314  12:17:43
DU159913,6569,IDEALPRO,0001f4e8.56e6649b.01.01,,1,192239731,1.11135,50000,BOT,EUR,USD,20160314  12:17:49
DU159913,7120,IDEALPRO,0001f4e8.56e664a7.01.01,,1,192239732,0.98535,50000,BOT,USD,CHF,20160314  12:17:56
DU159913,903,IDEALPRO,0001f4e8.56e66536.01.01,,1,192239733,1.11175,50000,SLD,EUR,USD,20160314  12:21:42
DU159913,8891,IDEALPRO,0001f4e8.56e66537.01.01,,1,192239734,1.11177,50000,SLD,EUR,USD,20160314  12:21:46
DU159913,7599,IDEALPRO,0001f4e8.56e66538.01.01,,2,192239735,0.985,50000,SLD,USD,CHF,20160314  12:21:50
DU159913,2352,IDEALPRO,0001f4e8.56e6653d.01.01,,1,192239736,113.59,50000,BOT,USD,JPY,20160314  12:21:54
DU159913,8796,IDEALPRO,0001f4e8.56e665d8.01.01,,1,192239737,0.751,50000,SLD,AUD,USD,20160314  12:25:47
DU159913,1601,IDEALPRO,0001f4e8.56e6667a.01.01,,1,192239738,0.98525,50000,BOT,USD,CHF,20160314  12:29:33
DU159913,8493,IDEALPRO,0001f4e8.56e666d2.01.01,,1,192239739,113.615,50000,SLD,USD,JPY,20160314  12:33:11
DU159913,5068,IDEALPRO,0001f4e8.56e666d6.01.01,,1,192239740,1.32825,50000,BOT,USD,CAD,20160314  12:33:20
DU159913,2135,IDEALPRO,0001f4e8.56e6678f.01.01,,1,192239741,0.98585,50000,SLD,USD,CHF,20160314  12:38:32
DU159913,2951,IDEALPRO,0001f4e8.56e66795.01.01,,1,192239742,0.75075,50000,BOT,AUD,USD,20160314  12:38:37
DU159913,797,IDEALPRO,0001f4e8.56e66823.01.01,,1,192239743,1.3283,50000,SLD,USD,CAD,20160314  12:41:34
DU159913,5896,IDEALPRO,0001f4e8.56e6688a.01.01,,1,192239744,0.9864,50000,BOT,USD,CHF,20160314  12:44:51
DU159913,5365,IDEALPRO,0001f4e8.56e6688e.01.01,,1,192239745,113.63,50000,BOT,USD,JPY,20160314  12:44:55
DU159913,281,IDEALPRO,0001f4e8.56e668ea.01.01,,1,192239746,1.11,50000,BOT,EUR,USD,20160314  12:49:00
DU159913,5394,IDEALPRO,0001f4e8.56e668ef.01.01,,1,192239747,1.1102,50000,BOT,EUR,USD,20160314  12:49:03
DU159913,7751,IDEALPRO,0001f4e8.56e668f0.01.01,,1,192239748,113.595,50000,SLD,USD,JPY,20160314  12:49:08
DU159913,9477,IDEALPRO,0001f4e8.56e668f3.01.01,,1,192239749,0.75095,50000,SLD,AUD,USD,20160314  12:49:11
DU159913,7598,IDEALPRO,0001f4e8.56e6696a.01.01,,1,192239750,1.1108,50000,SLD,EUR,USD,20160314  12:52:26
DU159913,4508,IDEALPRO,0001f4e8.56e6696c.01.01,,1,192239751,1.11065,50000,SLD,EUR,USD,20160314  12:52:29
DU159913,9774,IDEALPRO,0001f4e8.56e66974.01.01,,1,192239752,0.9859,50000,SLD,USD,CHF,20160314  12:52:33
DU159913,507,IDEALPRO,0001f4e8.56e669e4.01.01,,1,192239753,0.75125,50000,BOT,AUD,USD,20160314  12:55:51
DU159913,5645,IDEALPRO,0001f4e8.56e66a35.01.01,,1,192239754,1.11,50000,BOT,EUR,USD,20160314  13:00:00
DU159913,73,IDEALPRO,0001f4e8.56e66a3e.01.01,,1,192239755,1.11,50000,BOT,EUR,USD,20160314  13:00:03
DU159913,182,IDEALPRO,0001f4e8.56e66a46.01.01,,1,192239756,113.635,50000,BOT,USD,JPY,20160314  13:00:10
DU159913,7187,IDEALPRO,0001f4e8.56e66a4b.01.01,,1,192239757,0.7512,50000,SLD,AUD,USD,20160314  13:00:14
DU159913,4574,IDEALPRO,0001f4e8.56e66a8b.01.01,,1,192239758,1.1103,100000,SLD,EUR,USD,20160314  13:04:04
